 176.85472,-40.13355,Unmatched: Aramoana,"",5,1
 174.03853,-39.41673,Unmatched: Awatuna,"",12,299
 176.78716,-40.15082,Unmatched: Blackhead,"",5,206
 176.76873,-39.57263,Unmatched: Fernhill,"",5,186
 176.77562,-39.35484,Unmatched: Glengarry,"",5,193
 174.13587,-39.08297,Unmatched: Hillsborough,"",12,332
 175.10375,-39.97105,Unmatched: Kaitoke,"",6,42
 176.88097,-39.63364,Unmatched: Karamu,"",5,225
 175.95732,-38.65714,Unmatched: Kinloch,"",14,260
 174.13253,-39.55280,Unmatched: Manaia,"",12,325
 176.90266,-39.84546,Unmatched: Maraetotara,"",5,226
 175.38171,-40.03420,Unmatched: Marton,"",6,64
 175.38497,-40.06670,Unmatched: Marton,"",4,445
 175.06669,-39.95466,Unmatched: Marybank,"",6,39
 175.17229,-39.62728,Unmatched: Matahiwi,"",6,48
 177.88384,-38.75313,Unmatched: Muriwai,"",4,122
 173.95234,-39.11850,Unmatched: Oakura,"",12,293
 176.99910,-39.73500,Unmatched: Ocean Beach,"",5,245
 175.41005,-39.41303,Unmatched: Ohakune,"",4,447
 175.37988,-39.42064,Unmatched: Ohakune,"",6,66
 174.85569,-39.82458,Unmatched: Pakaraka,"",6,12
 174.98806,-39.67211,Unmatched: Paparangi,"",6,438
 174.48988,-39.14105,Unmatched: Purangi,"",12,381
 175.24571,-39.42767,Unmatched: Raetihi,"",6,44
 174.09044,-39.41411,Unmatched: Riverlea,"",12,318
 174.64623,-39.71667,Unmatched: Waverley,"",12,7
